Term	Notes	English	Chinese (Simplified)	Chinese (Traditional)	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Japanese	Korean	Ukrainian	Russian
sausagefestmod_cooked_sausage_description		It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	Het begint met eruit te zien als een slap wetenschappelijk experiment, maar na wat hitte komt het tevoorschijn als een sappige, sissende snacksuperster.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.	It starts out looking like a floppy science experiment, but after some heat, it emerges as a juicy, sizzling snack superstar.
sausagefestmod_idea_cooked_sausage_status		Cooking sausage...	Cooking sausage...	Cooking sausage...	Worst bakken...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...	Cooking sausage...
sausagefestmod_cooked_blood_sausage_name		Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Gebakken bloedworst	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage	Cooked Blood Sausage
sausagefestmod_cooked_blood_sausage_description		The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	De gothneef van de gewone worst – donker, mysterieus en een beetje intens.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.	The goth cousin of regular sausage—dark, mysterious, and a little intense.
sausagefestmod_idea_cooked_blood_sausage_status		Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Bloedworst bakken...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...	Cooking blood sausage...
sausagefestmod_meat_grinder_name		Meat Grinder	Meat Grinder	Meat Grinder	Vleesmolen	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder	Meat Grinder
sausagefestmod_meat_grinder_description		Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Geef het gewoon stukken vlees, draai aan de hendel, en daar komt een berg heerlijke potentie uit.	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential	Just feed it chunks of meat, crank the handle, and out comes a pile of delicious potential
sausagefestmod_idea_meat_grinder_status		Building meat grinder...	Building meat grinder...	Building meat grinder...	Vleesmolen bouwen...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...	Building meat grinder...
sausagefestmod_slaughterhouse_name		Slaughterhouse	Slaughterhouse	Slaughterhouse	Slachthuis	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse	Slaughterhouse
sausagefestmod_slaughterhouse_description		Magical meat factory	Magical meat factory	Magical meat factory	Magische vlees fabriek	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory	Magical meat factory
sausagefestmod_action_slaughtering_status		Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Dier slachten...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...	Slaughtering animal...
sausagefestmod_idea_slaughterhouse_status		Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Slachthuis bouwen...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...	Building slaughterhouse...
sausagefestmod_wurst_beer_name		Wurst Beer	Wurst Beer	Wurst Beer	Worst bier	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer	Wurst Beer
sausagefestmod_wurst_beer_description		Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!	Rock and Stone!
sausagefestmod_idea_wurst_beer_status		Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Mijn worst roeren...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...	Stirring my wurst...
sausagefestmod_blutwurst_beer_name		Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Bloedworst bier	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer	Blutwurst Beer
sausagefestmod_blutwurst_beer_description		If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!	If you don't Rock and Stone, you ain't comin' home!
sausagefestmod_idea_blutwurst_beer_status		Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Mijn bloedworst roeren...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...	Stirring my blutwurst...
sausagefestmod_delirium_tremens_name		Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens	Delirium Tremens
sausagefestmod_delirium_tremens_description		Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Waarom alleen de rillingen hebben als je ook een kleurrijk denkbeeldig circus kan hebben?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?	Why just have the shakes when you can also have a colorful imaginary circus?
sausagefestmod_action_drinking_wurstbeer_status		Drinking Beer	Drinking Beer	Drinking Beer	Bier drinken	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer	Drinking Beer
